Sex,Age,Height,Weight,BMI
Female,21,167.0896074,51.25253587,18.35764628
Female,35,181.6486334,61.90959788,18.76265227
Female,27,176.2727996,69.41183424,22.33898483
Male,24,173.270164,64.56225142,21.50461196
Female,18,172.1810374,65.45206357,22.07766909
Female,22,174.4925136,55.92902784,18.36894397
Male,35,177.2971816,64.18091632,
Male,19,177.8373888,61.89825807,19.57189143
Female,28,172.472731,50.97121788,17.13502122
Male,25,169.6271944,54.73372123,19.02236604
Male,34,0,57.8110733,
Female,28,171.7632582,51.77439389,17.54910613
Male,21,173.4882992,56.97605511,18.93008282
Male,25,170.4760624,55.5477381,19.11349399
Female,27,173.4303618,52.65599602,17.50645003
Male,23,180.572664,63.50179782,19.47522693
Male,20,168.81094,58.74125518,20.61306451
Female,31,174.3691458,64.85159799,21.32956107
Male,19,180.9250382,62.5515218,19.10913596
Female,32,170.5131972,56.26582018,19.35214792
Male,22,172.2978266,64.08384755,21.58686108
Female,32,174.9521774,65.10828592,21.27149797
Female,31,161.242121,44.40755938,17.08049361
Female,35,173.7915498,58.74143661,19.44857419
Male,29,171.7752216,64.34212304,21.80594279
Male,24,170.7099456,58.84199804,20.19157888
Male,21,179.939569,64.60221291,19.9523732
Male,25,171.4356236,59.67016699,20.30278552
Male,30,168.9963854,49.13875006,17.20559874
Female,31,166.2200892,51.66063292,18.69791655
Female,25,176.589182,46.85681757,15.02605989
Female,25,167.165528,54.77291161,19.60075929
Female,26,172.253402,57.05674919,19.22967413
Male,21,179.311427,61.78948662,19.21760089
Female,26,182.3842936,63.54897143,19.10443381
Female,27,175.7835702,58.39942797,18.89959718
Female,30,169.6813472,64.31912591,22.33944827
Female,21,171.8536822,54.98986484,18.61939155
Male,26,172.2298054,59.5783599,20.08502785
Female,23,162.675189,48.40352219,18.29089016
Female,23,174.1795602,56.40865641,18.59310375
Female,31,165.5662678,56.63513509,20.66059094
Male,18,176.9316756,63.35374527,20.23772218
Female,19,172.6369674,62.30980243,20.90688324
Male,28,167.5914352,48.28486243,17.19126657
Female,27,174.4281246,58.40632257,19.19673441
Male,18,169.8774352,66.08101475,22.89843646
Male,31,171.9546472,52.98820707,17.9205736
Male,21,177.3457718,0,
Male,34,175.4839518,61.20435247,19.87504004
Female,34,177.5835666,66.68801206,21.1467066
Male,28,171.0228228,57.30164371,19.59112862
Male,29,178.4842506,56.9185396,17.86711632
Female,30,175.5227376,52.48444738,17.03587236
Male,27,166.0742424,56.0137589,
Male,24,178.2685538,67.08295494,21.10878413
Female,28,178.8316718,70.71446081,22.11158515
Female,26,169.0211504,58.09347991,20.33507611
Female,18,168.5650172,54.14536657,19.05578817
Female,32,171.54398,60.69737227,20.62621035
Male,22,168.9206172,58.39207977,20.4639347
Male,21,175.2589332,62.38949861,20.31195306
Female,19,173.491017,58.85832737,19.55484811
Female,24,170.211877,58.43358347,20.1689512
Male,22,179.8470368,61.37853194,18.97625203
Female,26,173.2775554,49.71884935,16.55910885
Male,28,175.4102156,64.62257921,21.00269566
Male,34,172.0368162,60.21393353,20.34486076
Female,31,170.7278272,46.95928409,16.11066092
Female,26,0,56.57653095,
Male,23,165.7866382,58.65570766,21.34085156
Female,35,179.9406612,60.78931545,18.77453309
Female,34,177.6080268,63.68296261,20.18824641
Male,22,163.2841032,46.64521673,17.49523664
Female,19,173.342808,58.29632642,19.4012651
Female,32,168.5469832,54.56675388,19.20819996
Female,19,173.641385,62.86953541,20.85135514
Male,34,166.311326,60.30846218,21.80394704
Male,21,177.0874538,52.44584667,16.72384101
